기준연월,고객광역시군구명,전체이용건수,전체이용금액
202005,세종특별자치시,89112,2917286255
202005,전라남도,52668,1556133996
202006,강원도,31313,811367647
202006,울산광역시,28385,805200012
202006,제주특별자치도,10610,269666810
202006,충청북도,119482,3556103939
202007,경기도,1182253,33777757801
202007,경상북도,71977,1973409677
202007,서울특별시,638236,20695527139
202007,인천광역시,200023,5502134776
202008,경상남도,90881,2559306740
202008,광주광역시,45211,1237626918
202008,대구광역시,62773,1687338267
202008,전라북도,113121,3195459791
202009,대전광역시,249742,8726910482
202009,부산광역시,75483,2297241857
202009,세종특별자치시,79224,2754787027
202009,전라남도,44043,1368365444
202010,경기도,1241516,35931474128
202010,경상북도,71890,2093889331
202010,서울특별시,675661,22634578730
202010,인천광역시,215024,5924836994
202011,경상남도,83758,2413483401
202011,광주광역시,42597,1327690556
202011,대구광역시,57875,1629251260
202011,전라북도,105376,3439630050
202012,대전광역시,207992,8232873194
202012,부산광역시,72267,2368923854
202012,세종특별자치시,63497,2303299167
202012,전라남도,39977,1275593732
202101,강원도,22954,691413361
202101,울산광역시,23483,733892985
202101,제주특별자치도,7488,221922020
202101,충청북도,85622,2794938529
202102,경기도,899251,27834322970
202102,경상북도,54517,1638233200
202102,서울특별시,512006,17413320280
202102,인천광역시,154595,4727192943
202103,경상남도,86024,2548882683
202103,광주광역시,40591,1211688625
202103,대구광역시,58300,1662536925
202103,전라북도,105648,3531144551
202104,대전광역시,246554,8664945763
202104,부산광역시,85323,2639224753
202104,세종특별자치시,76025,2699444818
202104,전라남도,48769,1537957658
202105,강원도,30425,803833914
202105,울산광역시,32591,1031353486
202105,제주특별자치도,9118,223590420
202105,충청북도,112372,3646703832
202106,경기도,1158417,34954646365
202106,경상북도,71975,2005259641
202106,서울특별시,634227,21448935789
202106,인천광역시,202605,5895115862
202107,경상남도,89441,2610447459
202107,광주광역시,42433,1327914228
202107,대구광역시,63374,1877562051
202107,전라북도,109997,3558409673
202108,대전광역시,249116,8468000448
202108,부산광역시,83793,2502781125
202108,세종특별자치시,74158,2598008775
202108,전라남도,49362,1544023909
202109,강원도,28700,758011804
202109,울산광역시,30613,932583488
202109,제주특별자치도,8818,230771799
202109,충청북도,107441,3778956961
202110,경상남도,86926,2508107221
202110,광주광역시,43436,1356159341
202110,대구광역시,64132,1961061293
202110,전라북도,110955,3900065480
202111,대전광역시,211291,8049809864
202111,부산광역시,80868,2699416720
202111,세종특별자치시,68921,2623737226
202111,전라남도,45973,1645874977
202112,강원도,25157,743511721
202112,울산광역시,26060,821742197
202112,제주특별자치도,7674,235389554
202112,충청북도,88000,3315561307
202201,경기도,876691,29771254067
202201,경상북도,57331,1985283262
202201,서울특별시,481190,17038721535
202201,인천광역시,149507,4981020161
202202,경상남도,63595,1922193024
202202,광주광역시,31879,1038963476
202202,대구광역시,43937,1344499149
202202,전라북도,78153,2810241515
202203,대전광역시,217218,9194524224
202203,부산광역시,82049,2423521626
202203,세종특별자치시,70028,2944036785
202203,전라남도,44530,1527374652
202204,강원도,29264,829891078
202204,울산광역시,29483,922012657
202204,제주특별자치도,9288,259412853
202204,충청북도,109628,4074349699
202205,경기도,1344395,43650512674
202205,경상북도,76008,2427394109
202205,서울특별시,703864,24459924610
202205,인천광역시,230215,7284279551
202206,경상남도,91431,2754778976
202206,광주광역시,46731,1462886000
202206,대구광역시,68300,2059622365
202206,전라북도,113598,4048570681
201901,경상남도,81926,2602259988
201901,광주광역시,44640,1248986185
201901,대구광역시,53039,1978482481
201901,전라북도,117489,3624541132
201902,대전광역시,222227,7320111668
201902,부산광역시,65015,2238317815
201902,세종특별자치시,78149,2728807607
201902,전라남도,48984,1492905966
201903,강원도,37186,1027936665
201903,울산광역시,32803,1053176831
201903,제주특별자치도,13303,335000331
201903,충청북도,129854,3824034873
201904,경기도,1370797,37334675676
201904,경상북도,77641,2264873330
201904,서울특별시,718375,22631278389
201904,인천광역시,245461,6302704853
201905,경상남도,101250,2943444467
201905,광주광역시,54067,1410255321
201905,대구광역시,69230,2070600038
201905,전라북도,139211,4196855796
201906,대전광역시,284340,9197282143
201906,부산광역시,82853,2631993182
201906,세종특별자치시,95385,3212058672
201906,전라남도,59099,1637430875
201907,강원도,34341,942065188
201907,울산광역시,30735,958649687
201907,제주특별자치도,11545,300798628
201907,충청북도,129579,3988676995
201908,경기도,1408788,40431830213
201908,경상북도,81561,2341082420
201908,서울특별시,755885,23032367956
201908,인천광역시,242740,6719581952
201909,경상남도,92965,2698435677
201909,광주광역시,48767,1242454897
201909,대구광역시,63683,2011895818
201909,전라북도,125936,3718820200
201910,강원도,39000,1052332655
201910,울산광역시,34672,1060412994
201910,제주특별자치도,13807,329466780
201910,충청북도,138195,4303678760
201911,경기도,1307966,37199044785
201911,경상북도,74727,2310036648
201911,서울특별시,694517,21840578985
201911,인천광역시,230253,6089183093
201912,경상남도,87644,2781470536
201912,광주광역시,47492,1377992222
201912,대구광역시,60763,1958236814
201912,전라북도,122118,3981199802
202001,강원도,28782,799135137
202001,울산광역시,26404,840401421
202001,제주특별자치도,10510,325316044
202001,충청북도,108773,3434497753
202002,경기도,845806,26133606102
202002,경상북도,58173,1778917968
202002,서울특별시,464132,15247479518
202002,인천광역시,143478,4319026939
202003,경상남도,71803,2198924141
202003,광주광역시,36200,1057925910
202003,대구광역시,50466,1547119246
202003,전라북도,95309,3051032697
202004,대전광역시,248675,8231663571
202004,부산광역시,71890,2303454416
202004,세종특별자치시,83232,2762656367
202004,전라남도,46410,1464181652
202005,강원도,32145,882384140
202005,울산광역시,29963,878252496
202005,제주특별자치도,10455,264922005
202005,충청북도,127195,3712970904
202006,경기도,1199826,33849323464
202006,경상북도,71309,1924559276
202006,서울특별시,630130,19547296948
202006,인천광역시,207815,5541234201
202007,경상남도,90754,2522526688
202007,광주광역시,45249,1268613054
202007,대구광역시,62081,1716320349
202007,전라북도,114043,3290053898
202008,대전광역시,262528,8339288221
202008,부산광역시,79975,2363480167
202008,세종특별자치시,82198,2598869441
202008,전라남도,48694,1435044757
202009,강원도,27795,726803113
202009,울산광역시,26175,886138200
202009,제주특별자치도,8730,216697445
202009,충청북도,110951,3480730073
202010,경상남도,86609,2580191708
202010,광주광역시,44455,1281610307
202010,대구광역시,62026,1755053584
202010,전라북도,114953,3623538495
202011,대전광역시,230896,8113815240
202011,부산광역시,77444,2394129043
202011,세종특별자치시,70925,2472050791
202011,전라남도,46053,1431802250
202012,강원도,25868,693156440
202012,울산광역시,24955,766491774
202012,제주특별자치도,7658,203297848
202012,충청북도,90752,2927605344
202101,경기도,853327,26804099060
202101,경상북도,57922,1780771970
202101,서울특별시,462858,15275426330
202101,인천광역시,146343,4365195210
202102,경상남도,71322,2128698032
202102,광주광역시,33754,987910205
202102,대구광역시,47497,1465415521
202102,전라북도,89750,3121479583
202103,대전광역시,229803,8396230306
202103,부산광역시,80648,2556564138
202103,세종특별자치시,71521,2612341517
202103,전라남도,46832,1498843879
202104,강원도,29610,798301271
202104,울산광역시,30780,933323941
202104,제주특별자치도,9223,240093193
202104,충청북도,107675,3607775199
202105,경기도,1204142,36465336136
202105,경상북도,72253,2105257177
202105,서울특별시,652845,21555194373
202105,인천광역시,208142,6070515296
202106,경상남도,91140,2549462136
202106,광주광역시,42897,1323007094
202106,대구광역시,63083,1828061986
202106,전라북도,112839,3609013932
202107,대전광역시,256435,8721424674
202107,부산광역시,86674,2606336196
202107,세종특별자치시,75450,2699670461
202107,전라남도,49345,1604974989
202108,강원도,29281,776477365
202108,울산광역시,32799,987162853
202108,제주특별자치도,8750,230980964
202108,충청북도,111630,3739631033
202109,경기도,1198629,36725903506
202109,경상북도,66547,1968656199
202109,서울특별시,672533,22919361671
202109,인천광역시,209994,6239722552
202110,대전광역시,239255,8577450393
202110,부산광역시,86455,2661213260
202110,세종특별자치시,71979,2625065630
202110,전라남도,51855,1782704818
202111,강원도,27567,811659150
202111,울산광역시,28402,899556369
202111,제주특별자치도,8559,253817596
202111,충청북도,94438,3302850077
202112,경기도,932738,30622917338
202112,경상북도,61631,1985611027
202112,서울특별시,517774,18388611226
202112,인천광역시,158686,5029238879
202201,경상남도,70626,2158354528
202201,광주광역시,35813,1174290677
202201,대구광역시,50759,1667500627
202201,전라북도,90909,3361110082
202202,대전광역시,161831,5809700883
202202,부산광역시,61480,1881828282
202202,세종특별자치시,52840,2134550346
202202,전라남도,33073,1160592705
202203,강원도,28012,795877114
202203,울산광역시,28120,859880845
202203,제주특별자치도,8692,239876577
202203,충청북도,97629,3470773692
202204,경기도,1189668,39127262478
202204,경상북도,69385,2265102166
202204,서울특별시,640010,22687834596
202204,인천광역시,212294,6724710624
202205,경상남도,95348,2819556898
202205,광주광역시,48783,1550101069
202205,대구광역시,68709,2097227951
202205,전라북도,122396,4362184175
202206,대전광역시,250065,9552345192
202206,부산광역시,87605,2739995517
202206,세종특별자치시,82316,3684977923
202206,전라남도,49056,1674014380
201901,대전광역시,241561,8521435643
201901,부산광역시,73521,2676752604
201901,세종특별자치시,85264,3098865139
201901,전라남도,53761,1804883887
201902,강원도,29011,808895610
201902,울산광역시,24990,815513712
201902,제주특별자치도,9824,280771806
201902,충청북도,102669,3119905244
201903,경기도,1318232,36290224607
201903,경상북도,74797,2205599591
201903,서울특별시,680985,20309482230
201903,인천광역시,232707,6001934897
201904,경상남도,96655,2893444852
201904,광주광역시,49785,1368930210
201904,대구광역시,63864,1988276416
201904,전라북도,127628,3996493173
201905,대전광역시,306175,10063028729
201905,부산광역시,91557,2747322888
201905,세종특별자치시,100425,3469750886
201905,전라남도,63447,1834788387
201906,강원도,36522,941025370
201906,울산광역시,31775,999433502
201906,제주특별자치도,12844,329899330
201906,충청북도,135957,3939960955
201907,경기도,1209303,35375920561
201907,경상북도,76201,2239997951
201907,서울특별시,654588,20970535826
201907,인천광역시,207761,5961790855
201908,경상남도,102094,2926076517
201908,광주광역시,55326,1472879463
201908,대구광역시,73358,2481401124
201908,전라북도,143719,4108885737
201909,대전광역시,274189,8684122517
201909,부산광역시,81761,2542964784
201909,세종특별자치시,91723,3015856821
201909,전라남도,58740,1629931037
201910,경기도,1423825,39299662374
201910,경상북도,82190,2581158671
201910,서울특별시,744136,23191456162
201910,인천광역시,249182,6495597361
201911,경상남도,94205,2782710449
201911,광주광역시,51251,1422851599
201911,대구광역시,66355,2226655867
201911,전라북도,127302,4092928527
